Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes),Funding Received (USD),Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km)
Central Malawi,Malawi,5674,Central Facility 80,Clinic,33,2,15,19823,33,92079,No,Yes,89.7,7.5
Eastern Rwanda,Rwanda,3616,Eastern Facility 81,Health Center,22,17,49,4840,5,53599,No,No,67.5,7.6
Central Senegal,Senegal,8050,Central Facility 82,Hospital,30,6,48,1396,48,12888,Yes,No,70.1,11.6
Dar es Salaam,Tanzania,3975,Dar Facility 83,Clinic,13,10,48,12092,46,30248,Yes,No,71.0,9.4
Eastern Rwanda,Rwanda,3178,Eastern Facility 84,Clinic,31,14,25,6593,24,118872,Yes,No,69.1,11.0
Central Senegal,Senegal,5105,Central Facility 85,Clinic,48,13,21,7412,24,58363,No,No,80.8,7.4
Dar es Salaam,Tanzania,8798,Dar Facility 86,Clinic,28,7,5,12650,52,99432,No,No,83.2,15.0
Central Senegal,Senegal,3084,Central Facility 87,Clinic,56,7,11,6777,13,182091,Yes,No,91.0,6.6
Eastern Ethiopia,Ethiopia,8237,Eastern Facility 88,Hospital,47,9,46,9876,32,75605,Yes,No,65.2,10.7
Eastern Rwanda,Rwanda,4042,Eastern Facility 89,Health Center,16,16,7,15929,52,41539,No,Yes,88.7,8.5
Central Malawi,Malawi,7345,Central Facility 90,Health Center,59,6,8,1863,6,102644,Yes,No,64.7,8.7
Southern Zambia,Zambia,5628,Southern Facility 91,Hospital,18,6,19,7262,25,192725,Yes,No,86.3,16.3
Central Senegal,Senegal,4615,Central Facility 92,Clinic,42,8,12,11741,27,152904,No,Yes,68.2,6.8
Western Kenya,Kenya,1363,Western Facility 93,Health Center,46,5,9,13759,51,91753,Yes,Yes,64.2,17.2
Eastern Nigeria,Nigeria,3252,Eastern Facility 94,Health Center,44,10,42,14908,13,27348,Yes,Yes,88.1,13.9
Northern Ghana,Ghana,7013,Northern Facility 95,Clinic,22,1,29,18330,48,149342,Yes,No,82.7,3.7
Eastern Ethiopia,Ethiopia,870,Eastern Facility 96,Clinic,14,14,7,1868,40,29975,No,Yes,81.5,1.5
Eastern Ethiopia,Ethiopia,9641,Eastern Facility 97,Clinic,75,10,25,17472,33,40718,Yes,Yes,78.3,6.7
Central Senegal,Senegal,2160,Central Facility 98,Health Center,71,7,20,5732,45,149555,No,Yes,86.8,12.5
Eastern Rwanda,Rwanda,6209,Eastern Facility 99,Clinic,60,15,18,12956,25,193287,Yes,No,62.2,14.3
Northern Ghana,Ghana,3112,Northern Facility 100,Clinic,24,6,40,14454,52,33250,No,No,69.2,14.4
Western Kenya,Kenya,6862,Western Facility 101,Health Center,5,19,13,4276,24,44476,No,No,77.9,9.4
Southern Zambia,Zambia,590,Southern Facility 102,Clinic,13,15,35,19143,28,33167,Yes,No,76.7,18.9
Northern Ghana,Ghana,9262,Northern Facility 103,Hospital,38,6,34,18402,11,163418,No,No,65.9,14.7
Northern Ghana,Ghana,5042,Northern Facility 104,Clinic,97,18,45,3771,29,95297,Yes,Yes,80.6,13.4
Northern Ghana,Ghana,8498,Northern Facility 105,Health Center,36,20,22,5261,6,68987,Yes,No,77.1,2.7
Central Senegal,Senegal,9168,Central Facility 106,Clinic,69,11,5,15541,31,125898,No,No,79.3,3.9
Eastern Nigeria,Nigeria,7077,Eastern Facility 107,Clinic,25,10,41,19287,19,143247,Yes,No,94.8,11.0
Central Malawi,Malawi,1498,Central Facility 108,Clinic,29,15,37,7466,21,197092,Yes,No,68.8,5.0
Eastern Nigeria,Nigeria,2463,Eastern Facility 109,Hospital,33,20,48,3641,58,101244,Yes,Yes,80.7,18.1
Central Malawi,Malawi,2333,Central Facility 110,Clinic,14,11,44,5042,7,51016,Yes,No,69.7,19.3
Central Malawi,Malawi,8495,Central Facility 111,Health Center,22,20,21,8236,42,145113,Yes,No,61.0,10.9
Central Malawi,Malawi,9923,Central Facility 112,Health Center,19,20,40,17988,50,118805,No,No,82.4,18.9
Central Senegal,Senegal,4058,Central Facility 113,Clinic,10,5,20,13024,13,157394,No,Yes,89.3,19.4
Southern Zambia,Zambia,4768,Southern Facility 114,Hospital,34,14,8,12999,16,19010,Yes,No,79.6,12.9
Central Senegal,Senegal,9373,Central Facility 115,Hospital,83,7,13,4067,45,80446,No,No,62.9,9.3
Northern Ghana,Ghana,2544,Northern Facility 116,Health Center,92,20,32,5051,33,31176,Yes,No,89.0,2.5
Northern Ghana,Ghana,4582,Northern Facility 117,Clinic,49,16,49,16263,37,11333,Yes,No,60.5,12.6
Southern Zambia,Zambia,674,Southern Facility 118,Health Center,83,8,19,1085,5,141922,Yes,No,60.7,19.4
Western Uganda,Uganda,6179,Western Facility 119,Health Center,60,4,47,18507,49,117849,No,No,90.9,2.6
Western Uganda,Uganda,3381,Western Facility 120,Health Center,62,3,45,8526,35,65094,Yes,No,70.2,5.3
Eastern Nigeria,Nigeria,4221,Eastern Facility 121,Clinic,47,18,43,7055,5,154358,Yes,No,85.8,5.7
Southern Zambia,Zambia,4451,Southern Facility 122,Hospital,35,2,37,7261,58,183136,Yes,No,68.6,1.3
Eastern Rwanda,Rwanda,8524,Eastern Facility 123,Health Center,43,3,27,11510,19,15152,No,No,69.0,6.6
Dar es Salaam,Tanzania,585,Dar Facility 124,Hospital,7,15,23,11244,8,114655,No,No,64.4,15.3
Dar es Salaam,Tanzania,4289,Dar Facility 125,Hospital,37,5,13,1877,6,158896,No,No,66.5,10.6
Central Senegal,Senegal,1795,Central Facility 126,Clinic,30,11,31,5257,53,122610,No,Yes,86.7,7.8
Eastern Rwanda,Rwanda,1904,Eastern Facility 127,Hospital,32,16,9,10604,10,141275,No,Yes,92.5,16.9
Eastern Rwanda,Rwanda,3599,Eastern Facility 128,Health Center,57,4,13,1167,56,119628,Yes,No,88.6,6.3
Southern Zambia,Zambia,9982,Southern Facility 129,Clinic,69,17,48,8343,53,44429,No,No,91.9,10.9
Western Uganda,Uganda,7069,Western Facility 130,Health Center,55,19,22,1276,40,176063,Yes,Yes,60.4,14.0
Northern Ghana,Ghana,9686,Northern Facility 131,Hospital,19,13,14,5226,22,182182,Yes,Yes,83.0,1.3
Central Malawi,Malawi,1185,Central Facility 132,Health Center,99,12,36,12551,39,192871,No,Yes,67.2,18.3
Northern Ghana,Ghana,9600,Northern Facility 133,Clinic,46,15,38,5805,53,128451,No,Yes,76.2,8.8
Central Senegal,Senegal,2963,Central Facility 134,Health Center,16,9,48,16742,13,146822,Yes,No,72.9,2.4
Western Uganda,Uganda,1456,Western Facility 135,Health Center,12,13,5,18671,53,56180,Yes,No,89.7,1.3
Eastern Nigeria,Nigeria,7130,Eastern Facility 136,Hospital,19,17,46,13528,41,176207,No,No,84.6,18.6
Eastern Nigeria,Nigeria,5777,Eastern Facility 137,Hospital,45,14,48,12843,17,59301,No,No,90.2,13.2
Central Senegal,Senegal,4613,Central Facility 138,Hospital,9,1,38,17597,6,57934,Yes,Yes,77.2,7.9
Eastern Rwanda,Rwanda,6885,Eastern Facility 139,Health Center,63,20,5,18207,39,15741,No,Yes,77.5,1.7
Southern Zambia,Zambia,3958,Southern Facility 140,Health Center,74,11,26,4853,56,42828,No,No,74.4,7.5
Central Senegal,Senegal,4813,Central Facility 141,Hospital,48,5,28,17061,16,131966,Yes,No,94.0,16.9
Northern Ghana,Ghana,7989,Northern Facility 142,Clinic,66,2,37,14275,46,170486,Yes,Yes,85.8,6.9
Northern Ghana,Ghana,5404,Northern Facility 143,Hospital,9,4,15,11220,55,126951,No,No,89.3,19.9
Eastern Ethiopia,Ethiopia,5624,Eastern Facility 144,Health Center,72,6,24,13763,43,157682,No,Yes,90.1,2.3
Southern Zambia,Zambia,8173,Southern Facility 145,Hospital,8,2,48,16998,32,67572,Yes,Yes,89.9,4.3
Western Uganda,Uganda,7086,Western Facility 146,Hospital,66,2,6,12365,16,61796,Yes,No,64.8,8.1
Central Senegal,Senegal,3488,Central Facility 147,Hospital,89,16,42,5736,36,152974,No,No,80.7,14.0
Dar es Salaam,Tanzania,5770,Dar Facility 148,Clinic,22,7,25,13580,23,136941,No,Yes,70.5,8.0
Central Malawi,Malawi,2538,Central Facility 149,Health Center,12,16,16,12490,16,112950,No,No,84.8,11.2
Western Uganda,Uganda,8643,Western Facility 150,Health Center,34,19,38,16979,56,77688,Yes,Yes,85.6,12.7
Eastern Rwanda,Rwanda,1935,Eastern Facility 151,Hospital,50,13,50,3370,27,35391,No,Yes,82.9,10.9
Central Senegal,Senegal,6941,Central Facility 152,Hospital,100,8,38,10157,12,167014,Yes,No,80.6,4.3
Northern Ghana,Ghana,1618,Northern Facility 153,Health Center,41,5,6,8216,16,75459,No,No,73.2,14.2
Eastern Rwanda,Rwanda,2657,Eastern Facility 154,Health Center,13,16,12,16277,27,156991,Yes,Yes,61.3,14.8
Central Malawi,Malawi,2070,Central Facility 155,Clinic,30,11,43,6196,60,131542,Yes,Yes,87.5,6.0
Western Kenya,Kenya,7417,Western Facility 156,Health Center,41,13,11,19157,19,176816,No,No,84.2,9.1
Eastern Ethiopia,Ethiopia,1885,Eastern Facility 157,Hospital,26,12,11,14307,15,123414,Yes,Yes,87.4,6.1
Eastern Rwanda,Rwanda,8336,Eastern Facility 158,Health Center,79,9,41,11929,32,126027,No,No,73.1,11.5
Northern Ghana,Ghana,5372,Northern Facility 159,Clinic,44,12,7,9673,35,41543,No,Yes,91.3,14.4
Central Malawi,Malawi,2906,Central Facility 160,Clinic,28,6,13,15847,6,165364,Yes,No,82.5,7.4
Eastern Rwanda,Rwanda,5449,Eastern Facility 161,Hospital,94,3,28,5752,44,56449,Yes,Yes,71.9,4.6
Western Uganda,Uganda,6347,Western Facility 162,Clinic,22,14,47,1326,14,115485,Yes,No,75.5,6.1
Dar es Salaam,Tanzania,4411,Dar Facility 163,Hospital,23,18,6,6115,36,147669,Yes,Yes,89.5,12.7
Southern Zambia,Zambia,5770,Southern Facility 164,Clinic,31,6,36,14202,40,53800,Yes,Yes,60.1,16.4
Eastern Nigeria,Nigeria,3822,Eastern Facility 165,Health Center,82,11,24,11673,32,126385,No,Yes,83.3,19.6
Northern Ghana,Ghana,6075,Northern Facility 166,Clinic,26,12,30,14073,5,160280,No,Yes,83.1,5.2
Western Uganda,Uganda,1153,Western Facility 167,Health Center,68,14,27,12558,47,121487,Yes,No,86.3,15.2
Eastern Rwanda,Rwanda,6213,Eastern Facility 168,Hospital,89,18,17,5283,37,40412,No,No,87.5,9.0
Eastern Ethiopia,Ethiopia,4950,Eastern Facility 169,Hospital,73,4,10,16669,19,122204,Yes,No,83.6,10.0
Western Kenya,Kenya,1410,Western Facility 170,Health Center,67,7,18,11717,47,111230,No,Yes,87.3,2.8
Eastern Rwanda,Rwanda,2820,Eastern Facility 171,Health Center,97,10,26,1572,54,62901,Yes,Yes,69.5,4.9
Eastern Nigeria,Nigeria,9342,Eastern Facility 172,Clinic,83,18,18,12588,12,133931,No,No,74.9,2.7
Western Uganda,Uganda,6011,Western Facility 173,Clinic,64,1,35,3800,54,107744,No,Yes,94.2,12.3
Eastern Ethiopia,Ethiopia,5012,Eastern Facility 174,Clinic,16,20,34,4571,20,13215,No,No,70.1,13.1
Eastern Rwanda,Rwanda,2242,Eastern Facility 175,Health Center,54,11,19,7711,29,21356,No,No,89.7,18.5
Western Kenya,Kenya,9670,Western Facility 176,Hospital,37,6,28,2668,30,131538,Yes,No,61.1,1.1
Eastern Nigeria,Nigeria,2455,Eastern Facility 177,Health Center,91,10,8,8095,40,59625,Yes,No,71.6,2.4
Eastern Ethiopia,Ethiopia,6785,Eastern Facility 178,Health Center,55,8,48,5153,28,111374,No,No,92.7,18.3
Central Malawi,Malawi,6468,Central Facility 179,Clinic,68,18,37,13394,18,39656,Yes,No,69.0,9.7
Eastern Nigeria,Nigeria,4065,Eastern Facility 180,Health Center,5,13,17,6526,24,197526,No,Yes,94.5,8.2
Eastern Ethiopia,Ethiopia,7828,Eastern Facility 181,Health Center,33,19,10,10995,9,125595,Yes,Yes,86.9,1.2
Eastern Rwanda,Rwanda,8933,Eastern Facility 182,Hospital,88,9,30,10137,29,142151,Yes,Yes,75.9,15.5
Central Malawi,Malawi,8783,Central Facility 183,Health Center,22,11,19,12913,48,61663,Yes,No,63.4,14.2
Eastern Rwanda,Rwanda,5423,Eastern Facility 184,Clinic,56,8,18,1895,60,169917,Yes,Yes,84.6,19.9
Central Malawi,Malawi,8368,Central Facility 185,Hospital,38,16,50,11456,46,51465,Yes,Yes,93.8,1.6
Central Malawi,Malawi,8425,Central Facility 186,Health Center,38,8,16,6554,48,20260,No,Yes,89.5,17.8
Dar es Salaam,Tanzania,2088,Dar Facility 187,Health Center,92,11,39,3713,29,17118,No,Yes,61.9,19.2
Western Kenya,Kenya,3255,Western Facility 188,Clinic,7,3,9,8871,42,181457,Yes,Yes,70.3,5.0
Eastern Rwanda,Rwanda,2447,Eastern Facility 189,Clinic,85,11,38,10838,29,113649,Yes,No,81.1,7.4
Northern Ghana,Ghana,6231,Northern Facility 190,Hospital,58,16,46,7393,23,187173,No,No,66.9,10.1
Southern Zambia,Zambia,8218,Southern Facility 191,Health Center,17,19,40,3590,52,185904,Yes,Yes,68.4,8.7
Southern Zambia,Zambia,7501,Southern Facility 192,Clinic,71,8,48,8128,20,137391,Yes,Yes,71.9,12.5
Central Malawi,Malawi,9342,Central Facility 193,Clinic,12,15,25,4800,45,178902,Yes,Yes,86.6,11.3
Southern Zambia,Zambia,8360,Southern Facility 194,Clinic,85,7,35,8989,16,125797,Yes,Yes,60.5,19.8
Eastern Nigeria,Nigeria,2372,Eastern Facility 195,Health Center,94,14,19,17081,47,184474,Yes,Yes,63.5,11.4
Central Senegal,Senegal,6248,Central Facility 196,Clinic,51,14,46,11149,11,57570,Yes,Yes,66.3,14.8
Northern Ghana,Ghana,626,Northern Facility 197,Clinic,16,12,27,13483,17,31368,No,No,95.0,14.3
Eastern Nigeria,Nigeria,1819,Eastern Facility 198,Health Center,86,10,17,8092,60,168431,Yes,Yes,63.5,15.7
Eastern Nigeria,Nigeria,2009,Eastern Facility 199,Hospital,28,19,19,15630,33,66639,No,Yes,83.3,11.7
Eastern Ethiopia,Ethiopia,4011,Eastern Facility 200,Clinic,62,2,50,18176,51,96953,Yes,Yes,60.8,14.9
Central Senegal,Senegal,8980,Central Facility 201,Clinic,13,9,19,17097,60,114718,No,No,75.3,3.7
Eastern Nigeria,Nigeria,978,Eastern Facility 202,Hospital,39,8,24,15630,50,179338,No,Yes,86.0,2.6
Northern Ghana,Ghana,9756,Northern Facility 203,Health Center,68,9,32,4680,52,79022,No,No,88.3,13.9
Dar es Salaam,Tanzania,9785,Dar Facility 204,Health Center,22,8,8,10591,36,86887,No,Yes,90.2,18.3
Eastern Rwanda,Rwanda,9404,Eastern Facility 205,Clinic,90,11,38,19095,53,182704,No,No,88.0,9.6
Eastern Rwanda,Rwanda,744,Eastern Facility 206,Clinic,36,16,24,14295,51,152471,No,Yes,73.0,9.5
Southern Zambia,Zambia,4274,Southern Facility 207,Health Center,99,2,28,14313,9,140406,No,No,84.8,1.9
Western Uganda,Uganda,5236,Western Facility 208,Clinic,68,7,18,13092,54,76831,Yes,Yes,84.3,3.2
Southern Zambia,Zambia,1862,Southern Facility 209,Hospital,12,5,10,15436,48,30881,No,No,91.9,17.4
Eastern Rwanda,Rwanda,3257,Eastern Facility 210,Clinic,95,17,7,4276,33,21717,No,No,82.9,7.1
Western Kenya,Kenya,4714,Western Facility 211,Health Center,85,5,14,13268,24,179679,No,No,73.8,4.7
Southern Zambia,Zambia,1981,Southern Facility 212,Clinic,17,19,31,19096,37,64100,No,Yes,91.3,13.2
Central Malawi,Malawi,9633,Central Facility 213,Hospital,95,4,39,1457,53,138234,Yes,No,82.8,15.7
Eastern Rwanda,Rwanda,6807,Eastern Facility 214,Hospital,51,15,9,10860,49,76188,No,Yes,71.9,9.5
Central Senegal,Senegal,3134,Central Facility 215,Health Center,17,12,26,2614,45,159898,No,No,65.8,13.5
Western Kenya,Kenya,5167,Western Facility 216,Health Center,49,12,32,15290,48,88749,Yes,Yes,72.8,16.5
Central Senegal,Senegal,6242,Central Facility 217,Hospital,20,19,17,9701,14,150390,No,No,82.7,17.4
Western Uganda,Uganda,7794,Western Facility 218,Hospital,80,1,46,17053,7,167380,Yes,No,61.2,6.3
Northern Ghana,Ghana,2925,Northern Facility 219,Hospital,38,17,7,14370,56,171269,No,No,67.4,11.7
Central Senegal,Senegal,9655,Central Facility 220,Health Center,89,18,38,4298,52,193787,Yes,Yes,65.7,8.1
Central Senegal,Senegal,1705,Central Facility 221,Health Center,95,8,13,5004,23,154913,No,No,74.1,15.4
Southern Zambia,Zambia,7225,Southern Facility 222,Clinic,62,9,38,2885,21,40462,Yes,No,65.1,5.9
Eastern Ethiopia,Ethiopia,8557,Eastern Facility 223,Hospital,32,14,41,4717,53,76400,Yes,Yes,68.4,3.5
Eastern Ethiopia,Ethiopia,9819,Eastern Facility 224,Hospital,37,8,8,12522,27,37475,Yes,No,89.9,6.8
Central Malawi,Malawi,3036,Central Facility 225,Clinic,61,8,14,3719,57,101053,Yes,Yes,88.3,15.8
Eastern Nigeria,Nigeria,7167,Eastern Facility 226,Health Center,57,10,32,18057,33,85879,No,No,79.8,4.1
Dar es Salaam,Tanzania,3096,Dar Facility 227,Health Center,5,12,41,3245,22,33061,Yes,Yes,88.2,18.0
Southern Zambia,Zambia,5953,Southern Facility 228,Clinic,67,18,10,14774,20,100963,No,Yes,63.6,2.2
Northern Ghana,Ghana,1524,Northern Facility 229,Health Center,40,8,28,5913,6,190788,No,Yes,82.3,17.5
Eastern Nigeria,Nigeria,3356,Eastern Facility 230,Hospital,53,6,49,16746,9,109175,No,Yes,66.5,3.9
Northern Ghana,Ghana,6522,Northern Facility 231,Clinic,36,7,44,17761,38,192747,Yes,Yes,62.0,10.6
Central Senegal,Senegal,1550,Central Facility 232,Health Center,45,17,36,13378,52,29755,No,No,94.0,16.2
Eastern Ethiopia,Ethiopia,6964,Eastern Facility 233,Hospital,68,17,36,10752,9,80729,Yes,No,86.2,11.9
